"Car_name","Make","Car_name_link","Battery","Efficiency","Fast_charge","Price","Range","Top_speed","Acceleration","Price_lambda"
"Tesla Model Y Long Range Dual Motor","Tesla","https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor",75,172,670,59017,435,217,5,1.41368713872319
"Tesla Model 3","Tesla","https://ev-database.org/car/1991/Tesla-Model-3",57.5,137,700,46220,420,201,6.1,1.41357421814336
"BYD ATTO 3","BYD","https://ev-database.org/car/1782/BYD-ATTO-3",60.5,183,370,44625,330,160,7.3,1.41355632968736
"MG MG4 Electric 64 kWh","MG","https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh",61.7,171,630,39990,360,160,7.9,1.41349752210638
"Tesla Model 3 Long Range Dual Motor","Tesla","https://ev-database.org/car/1992/Tesla-Model-3-Long-Range-Dual-Motor",75,149,780,55220,505,201,4.4,1.413658321243
"Tesla Model Y","Tesla","https://ev-database.org/car/1743/Tesla-Model-Y",57.5,164,580,47567,350,217,6.9,1.41358852410409
"BMW iX xDrive40","BMW","https://ev-database.org/car/1472/BMW-iX-xDrive40",71,197,480,77300,360,200,6.1,1.4137911205363
"Volvo EX30 Single Motor ER","Volvo","https://ev-database.org/car/1910/Volvo-EX30-Single-Motor-ER",64,173,550,41790,370,180,5.3,1.41352168105925
"Citroen e-C3","Citroen","https://ev-database.org/car/2039/Citroen-e-C3",44,176,320,23300,250,135,11,1.41313091178552
"BYD SEAL 82.5 kWh AWD Excellence","BYD","https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence",82.5,170,530,53668,485,180,3.8,1.41364554632509
"BMW i4 eDrive40","BMW","https://ev-database.org/car/1252/BMW-i4-eDrive40",80.7,157,800,59200,515,190,5.7,1.41368844762798
"Renault Megane E-Tech EV60 220hp","Renault","https://ev-database.org/car/1521/Renault-Megane-E-Tech-EV60-220hp",60,158,530,46600,380,160,7.4,1.41357832541374
"BMW iX1 xDrive30","BMW","https://ev-database.org/car/1701/BMW-iX1-xDrive30",64.7,170,550,55000,380,180,5.6,1.41365654783582
"Hyundai Kona Electric 64 kWh","Hyundai","https://ev-database.org/car/1423/Hyundai-Kona-Electric-64-kWh",64,164,370,42900,390,167,7.9,1.41353571249292
"Tesla Model Y Performance","Tesla","https://ev-database.org/car/1183/Tesla-Model-Y-Performance",75,181,640,63667,415,250,3.7,1.41371839177954
"Kia Niro EV","Kia","https://ev-database.org/car/1666/Kia-Niro-EV",64.8,168,390,45690,385,167,7.8,1.41356839234709
"Tesla Model S Plaid","Tesla","https://ev-database.org/car/1405/Tesla-Model-S-Plaid",95,170,780,110970,560,282,2.1,1.41390269550137
"BMW iX3","BMW","https://ev-database.org/car/1535/BMW-iX3",74,192,520,67300,385,180,6.8,1.4137402213517
"Fiat 500e Hatchback 42 kWh","Fiat","https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh",37.3,159,390,34990,235,150,9,1.41341945580724
"BYD HAN","BYD","https://ev-database.org/car/1784/BYD-HAN",85.4,180,450,70805,475,180,3.9,1.41375945590595
"Tesla Model S Dual Motor","Tesla","https://ev-database.org/car/1404/Tesla-Model-S-Dual-Motor",95,165,800,95970,575,250,3.2,1.41386127547638
"BYD DOLPHIN 60.4 kWh","BYD","https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh",60.5,178,340,35990,340,160,7,1.41343654469244
"CUPRA Born 150 kW - 58 kWh","CUPRA","https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh",58,166,470,39370,350,160,7.3,1.41348876571581
"Dacia Spring Electric 45","Dacia","https://ev-database.org/car/1705/Dacia-Spring-Electric-45",25,152,180,22550,165,125,19.1,1.41310388499842
"BMW i5 eDrive40 Sedan","BMW","https://ev-database.org/car/1906/BMW-i5-eDrive40-Sedan",81.2,171,710,70200,475,193,6,1.41375625307793
"BMW i4 M50","BMW","https://ev-database.org/car/1519/BMW-i4-M50",80.7,179,700,70800,450,225,3.9,1.41375942962784
"Opel Astra Electric","Opel","https://ev-database.org/car/1792/Opel-Astra-Electric",50.8,167,490,41990,305,170,9.2,1.41352425597308
"MG ZS EV Long Range","MG","https://ev-database.org/car/1541/MG-ZS-EV-Long-Range",68.3,185,420,37990,370,175,8.4,1.41346840365267
"BMW i7 xDrive60","BMW","https://ev-database.org/car/1676/BMW-i7-xDrive60",101.7,199,760,139900,510,240,4.7,1.41396056696121
"Toyota bZ4X FWD","Toyota","https://ev-database.org/car/1564/Toyota-bZ4X-FWD",64,188,510,47490,340,160,7.5,1.41358772500693
"Volvo EX30 Single Motor","Volvo","https://ev-database.org/car/1909/Volvo-EX30-Single-Motor",49,175,430,36590,280,180,5.7,1.41344641419687
"Smart #1","Smart","https://ev-database.org/car/1667/Smart-1",62,185,520,42490,335,180,6.7,1.41353060261413
"Kia EV6 Long Range 2WD","Kia","https://ev-database.org/car/1481/Kia-EV6-Long-Range-2WD",74,180,1070,51990,410,185,7.3,1.41363100515944
"Volkswagen ID.7 Pro","Volkswagen","https://ev-database.org/car/1839/Volkswagen-ID7-Pro",77,162,710,56995,475,180,6.5,1.41367220054297
"BMW iX xDrive50","BMW","https://ev-database.org/car/1473/BMW-iX-xDrive50",105.2,208,680,100100,505,200,4.6,1.41387373375212
"Audi Q8 e-tron 55 quattro","Audi","https://ev-database.org/car/1770/Audi-Q8-e-tron-55-quattro",106,210,640,85300,505,200,5.6,1.41382438870555
"MG MG4 Electric 51 kWh","MG","https://ev-database.org/car/1707/MG-MG4-Electric-51-kWh",50.8,169,390,34990,300,160,7.7,1.41341945580724
"BYD SEAL 82.5 kWh RWD Design","BYD","https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design",82.5,165,550,47578,500,180,5.9,1.41358863808059
"Skoda Enyaq 85","Skoda","https://ev-database.org/car/2020/Skoda-Enyaq-85",77,169,680,48900,455,180,6.7,1.41360201642045
"Hyundai Kona Electric 65 kWh","Hyundai","https://ev-database.org/car/1830/Hyundai-Kona-Electric-65-kWh",65.4,168,400,47190,390,170,8.8,1.41358459042654
"Volkswagen ID.3 Pro","Volkswagen","https://ev-database.org/car/1831/Volkswagen-ID3-Pro",58,166,450,39995,350,160,7.3,1.41349759177982
"Renault Zoe ZE50 R110","Renault","https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110",52,165,230,36840,315,135,11.4,1.41345044538632
"Kia EV9 99.8 kWh AWD","Kia","https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD",96,226,740,76490,425,200,6,1.41378742292911
"Peugeot e-208","Peugeot","https://ev-database.org/car/1583/Peugeot-e-208",46.3,162,460,39100,285,150,8.1,1.41348487847016
"Audi e-tron GT RS","Audi","https://ev-database.org/car/1153/Audi-e-tron-GT-RS",85,210,1000,146050,405,250,3.3,1.41397030869731
"CUPRA Born 170 kW - 77 kWh","CUPRA","https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh",77,171,630,46450,450,160,7,1.4135767109755
"BYD TANG","BYD","https://ev-database.org/car/1783/BYD-TANG",86.4,240,330,71400,360,180,4.6,1.41376256055335
"Mini Cooper SE","Mini","https://ev-database.org/car/1409/Mini-Cooper-SE",28.9,161,260,35700,180,150,7.3,1.41343167308992
"BMW i4 eDrive35","BMW","https://ev-database.org/car/1785/BMW-i4-eDrive35",67,156,580,56500,430,190,6,1.41366840487382
"Hyundai IONIQ 6 Long Range AWD","Hyundai","https://ev-database.org/car/1719/Hyundai-IONIQ-6-Long-Range-AWD",74,168,1150,61100,440,185,5.1,1.41370164063821
"Kia EV6 GT","Kia","https://ev-database.org/car/1471/Kia-EV6-GT",74,206,940,72990,360,260,3.5,1.41377064448256
"Hyundai IONIQ 6 Long Range 2WD","Hyundai","https://ev-database.org/car/1718/Hyundai-IONIQ-6-Long-Range-2WD",74,149,1290,54000,495,185,7.4,1.41364833176019
"Jeep Avenger Electric","Jeep","https://ev-database.org/car/1816/Jeep-Avenger-Electric",50.8,164,500,37000,310,150,9,1.41345300092763
"Nissan Ariya 87kWh","Nissan","https://ev-database.org/car/1302/Nissan-Ariya-87kWh",87,193,540,58990,450,160,7.6,1.41368694501941
"Nissan Leaf","Nissan","https://ev-database.org/car/1656/Nissan-Leaf",39,166,230,33400,235,144,7.9,1.41339049683033
"Volkswagen ID. Buzz Pro","Volkswagen","https://ev-database.org/car/1651/Volkswagen-ID-Buzz-Pro",77,223,480,64581,345,145,10.2,1.4137240808213
"Volkswagen ID.4 Pro","Volkswagen","https://ev-database.org/car/2028/Volkswagen-ID4-Pro",77,177,650,46335,435,180,6.7,1.41357546719985
"Zeekr 001 Performance AWD","Zeekr","https://ev-database.org/car/1934/Zeekr-001-Performance-AWD",94,186,700,63970,505,200,3.8,1.41372029312458
"Citroen e-C4","Citroen","https://ev-database.org/car/1587/Citroen-e-C4",46.3,160,460,36040,290,150,9.7,1.41343737785701
"Lucid Air Dream Edition R","Lucid","https://ev-database.org/car/1696/Lucid-Air-Dream-Edition-R",118,172,870,218000,685,270,2.9,1.41404810087569
"MG MG4 Electric 77 kWh","MG","https://ev-database.org/car/1973/MG-MG4-Electric-77-kWh",74.4,175,430,45990,425,180,6.5,1.41357170404493
"Hyundai IONIQ 5 Long Range 2WD","Hyundai","https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD",74,190,1020,47900,390,185,7.3,1.41359195467294
"Tesla Model Y","Tesla","https://ev-database.org/car/1974/Tesla-Model-Y",57.5,164,810,47567,350,217,6.9,1.41358852410409
"Honda e:Ny1","Honda","https://ev-database.org/car/1940/Honda-eNy1",61.9,185,300,47590,335,160,7.6,1.4135887623673
"BYD DOLPHIN 44.9 kWh Active","BYD","https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active",44.9,176,260,29990,255,150,10,1.41331966732302
"Lotus Eletre","Lotus","https://ev-database.org/car/1767/Lotus-Eletre",109,220,1040,95990,495,250,4.5,1.41386133800735
"Polestar 2 Long Range Single Motor","Polestar","https://ev-database.org/car/1818/Polestar-2-Long-Range-Single-Motor",79,168,700,54475,470,205,6.2,1.41365226649756
"Volvo EX30 Twin Motor Performance","Volvo","https://ev-database.org/car/1911/Volvo-EX30-Twin-Motor-Performance",64,178,540,48490,360,180,3.6,1.41359793395491
"BMW iX1 eDrive20","BMW","https://ev-database.org/car/1996/BMW-iX1-eDrive20",64.7,166,560,47900,390,170,8.3,1.41359195467294
"Hyundai IONIQ 6 Standard Range 2WD","Hyundai","https://ev-database.org/car/1717/Hyundai-IONIQ-6-Standard-Range-2WD",54,148,900,43900,365,185,8.8,1.41354783302059
"Opel Mokka-e","Opel","https://ev-database.org/car/1586/Opel-Mokka-e",46.3,178,420,40650,260,150,9.2,1.41350659231271
"MG MG4 Electric XPOWER","MG","https://ev-database.org/car/1944/MG-MG4-Electric-XPOWER",61.7,193,560,46990,320,200,3.8,1.413582481741
"Smart #1 Brabus","Smart","https://ev-database.org/car/1748/Smart-1-Brabus",62,197,490,48990,315,180,3.9,1.41360290476015
"Subaru Solterra AWD","Subaru","https://ev-database.org/car/1567/Subaru-Solterra-AWD",64,200,480,57490,320,160,6.9,1.41367594035186
"Mercedes EQS 450+","Mercedes","https://ev-database.org/car/2008/Mercedes-EQS-450plus",108.4,171,950,109551,635,210,6.1,1.41389919420524
"Fisker Ocean One","Fisker","https://ev-database.org/car/1712/Fisker-Ocean-One",106.5,201,630,69950,530,205,3.9,1.41375491579828
"Volvo XC40 Recharge Single Motor ER","Volvo","https://ev-database.org/car/1797/Volvo-XC40-Recharge-Single-Motor-ER",79,195,600,53000,405,180,7.3,1.41363985177716
"Zeekr 001 Long Range RWD","Zeekr","https://ev-database.org/car/1933/Zeekr-001-Long-Range-RWD",94,177,740,60970,530,200,7.2,1.41370076035567
"Skoda Enyaq Coupe 85","Skoda","https://ev-database.org/car/2024/Skoda-Enyaq-Coupe-85",77,159,720,51150,485,180,6.7,1.41362342101894
"BMW i5 M60 xDrive Sedan","BMW","https://ev-database.org/car/1907/BMW-i5-M60-xDrive-Sedan",81.2,191,630,99500,425,230,3.8,1.41387197872042
"Audi e-tron GT quattro","Audi","https://ev-database.org/car/1420/Audi-e-tron-GT-quattro",85,202,1030,106050,420,245,4.1,1.41389021493966
"Kia EV6 Long Range AWD","Kia","https://ev-database.org/car/1482/Kia-EV6-Long-Range-AWD",74,185,1050,55980,400,185,5.2,1.41366435587842
"MG MG5 Electric Long Range","MG","https://ev-database.org/car/1474/MG-MG5-Electric-Long-Range",57.4,171,330,38490,335,185,7.7,1.41347592511452
"Mazda MX-30","Mazda","https://ev-database.org/car/1680/Mazda-MX-30",30,176,210,35990,170,140,9.7,1.41343654469244
"Maxus MIFA 9","Maxus","https://ev-database.org/car/1837/Maxus-MIFA-9",84,230,330,68990,365,180,9.2,1.41374970388881
"Hyundai Kona Electric 39 kWh","Hyundai","https://ev-database.org/car/1422/Hyundai-Kona-Electric-39-kWh",39.2,160,210,36400,245,155,9.9,1.41344331890985
"Fisker Ocean Ultra","Fisker","https://ev-database.org/car/1710/Fisker-Ocean-Ultra",106.5,199,640,57000,535,200,4.2,1.41367223859588
"Renault Zoe ZE50 R135","Renault","https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135",52,168,230,37840,310,140,9.5,1.41346611416487
"Kia EV9 99.8 kWh RWD","Kia","https://ev-database.org/car/1834/Kia-EV9-998-kWh-RWD",96,213,780,72490,450,185,9.4,1.41376813500581
"Lexus RZ 450e","Lexus","https://ev-database.org/car/1677/Lexus-RZ-450e",64,200,480,68000,320,160,5.6,1.41374419782731
"Tesla Model X Dual Motor","Tesla","https://ev-database.org/car/1407/Tesla-Model-X-Dual-Motor",95,200,660,100970,475,250,3.9,1.41387624688941
"Mercedes EQB 250+","Mercedes","https://ev-database.org/car/1988/Mercedes-EQB-250plus",70.5,170,560,53514,415,160,8.9,1.4136442442764
"Hyundai IONIQ 5 Long Range AWD","Hyundai","https://ev-database.org/car/1663/Hyundai-IONIQ-5-Long-Range-AWD",74,192,1010,59200,385,185,5.1,1.41368844762798
"Peugeot e-308","Peugeot","https://ev-database.org/car/1744/Peugeot-e-308",50.8,169,450,44765,300,170,9.8,1.4135579433325
"Tesla Model X Plaid","Tesla","https://ev-database.org/car/1408/Tesla-Model-X-Plaid",95,209,630,115970,455,262,2.6,1.41391444699406
"Volvo XC40 Recharge Twin Motor","Volvo","https://ev-database.org/car/1798/Volvo-XC40-Recharge-Twin-Motor",79,203,580,59950,390,180,4.8,1.41369374063598
"Hyundai IONIQ 5 Standard Range 2WD","Hyundai","https://ev-database.org/car/1476/Hyundai-IONIQ-5-Standard-Range-2WD",54,183,720,43900,295,185,8.5,1.41354783302059
"Volkswagen ID.5 Pro","Volkswagen","https://ev-database.org/car/2031/Volkswagen-ID5-Pro",77,169,680,48970,455,180,6.7,1.41360270759219
"Audi Q8 e-tron Sportback 55 quattro","Audi","https://ev-database.org/car/1772/Audi-Q8-e-tron-Sportback-55-quattro",106,202,660,87550,525,200,5.6,1.41383280356195
"BMW iX2 xDrive30","BMW","https://ev-database.org/car/2040/BMW-iX2-xDrive30",64.7,170,550,56500,380,180,5.6,1.41366840487382
"Audi Q4 e-tron 45","Audi","https://ev-database.org/car/2013/Audi-Q4-e-tron-45",77,183,630,52950,420,180,6.7,1.41363942060877
"Zeekr X Privilege AWD","Zeekr","https://ev-database.org/car/1937/Zeekr-X-Privilege-AWD",64,183,520,50470,350,180,3.8,1.41361712398736
"BMW iX M60","BMW","https://ev-database.org/car/1590/BMW-iX-M60",105.2,217,650,136100,485,250,3.8,1.41395417388351
"Fiat 600e","Fiat","https://ev-database.org/car/1945/Fiat-600e",50.8,167,490,36490,305,150,9,1.41344478852794
"Smart #3","Smart","https://ev-database.org/car/1999/Smart-3",62,175,550,43490,355,180,6.7,1.41354292115899
"MG Marvel R","MG","https://ev-database.org/car/1524/MG-Marvel-R",70,192,400,46990,365,200,7.9,1.413582481741
"Nissan Leaf e+","Nissan","https://ev-database.org/car/1657/Nissan-Leaf-eplus",59,174,240,41100,340,157,6.9,1.4135126337209
"Polestar 2 Long Range Dual Motor","Polestar","https://ev-database.org/car/1819/Polestar-2-Long-Range-Dual-Motor",79,176,670,58775,450,205,4.5,1.41368539714475
"Dacia Spring Electric 65 Extreme","Dacia","https://ev-database.org/car/1813/Dacia-Spring-Electric-65-Extreme",25,156,170,24550,160,125,13.7,1.41317280353195
"Volkswagen ID.3 Pro S - 4 Seats","Volkswagen","https://ev-database.org/car/1832/Volkswagen-ID3-Pro-S---4-Seats",77,169,680,47595,455,160,7.9,1.41358881413764
"Mercedes EQS SUV 580 4MATIC","Mercedes","https://ev-database.org/car/1675/Mercedes-EQS-SUV-580-4MATIC",108.4,224,720,135434,485,210,4.6,1.41395302193364
"Kia EV9 99.8 kWh AWD GT-Line","Kia","https://ev-database.org/car/1993/Kia-EV9-998-kWh-AWD-GT-Line",96,231,720,82380,415,200,5.3,1.41381288587132
"Renault Megane E-Tech EV60 130hp","Renault","https://ev-database.org/car/1588/Renault-Megane-E-Tech-EV60-130hp",60,158,530,47000,380,150,10.5,1.413582587539
"Skoda Enyaq 60","Skoda","https://ev-database.org/car/2019/Skoda-Enyaq-60",58,171,460,44200,340,160,8.7,1.41355137773378
"Citroen e-C4 X","Citroen","https://ev-database.org/car/1706/Citroen-e-C4-X",46.3,162,460,37540,285,150,9.7,1.41346148838497
"Ford Mustang Mach-E ER RWD","Ford","https://ev-database.org/car/2035/Ford-Mustang-Mach-E-ER-RWD",91,190,420,58500,480,180,7,1.41368340315968
"Lucid Air Grand Touring","Lucid","https://ev-database.org/car/1316/Lucid-Air-Grand-Touring",112,168,840,159000,665,270,3,1.41398869707718
"Volvo XC40 Recharge Single Motor","Volvo","https://ev-database.org/car/1796/Volvo-XC40-Recharge-Single-Motor",66,191,420,47500,345,180,7.3,1.41358782891072
"Polestar 2 Standard Range Single Motor","Polestar","https://ev-database.org/car/1817/Polestar-2-Standard-Range-Single-Motor",67,165,480,50775,405,205,6.4,1.41361996619458
"Peugeot e-2008 54 kWh","Peugeot","https://ev-database.org/car/1947/Peugeot-e-2008-54-kWh",50.8,169,480,40050,300,150,9.1,1.41349835720745
"ORA Funky Cat 48 kWh","ORA","https://ev-database.org/car/1781/ORA-Funky-Cat-48-kWh",45.4,175,240,38990,260,160,8.3,1.41348328161138
"Polestar 3 Long Range Dual motor","Polestar","https://ev-database.org/car/1758/Polestar-3-Long-Range-Dual-motor",107,218,640,88600,490,210,5,1.41383660535149
"MG Marvel R Performance","MG","https://ev-database.org/car/1475/MG-Marvel-R-Performance",70,200,380,50990,350,200,4.9,1.41362195226588
"MG ZS EV Standard Range","MG","https://ev-database.org/car/1540/MG-ZS-EV-Standard-Range",49,185,250,33990,265,175,8.6,1.4134015123066
"Toyota bZ4X AWD","Toyota","https://ev-database.org/car/1565/Toyota-bZ4X-AWD",64,203,470,57390,315,160,6.9,1.41367518927443
"Audi Q8 e-tron 50 quattro","Audi","https://ev-database.org/car/1769/Audi-Q8-e-tron-50-quattro",89,209,660,74400,425,200,6,1.41377756580142
"Nissan Ariya 63kWh","Nissan","https://ev-database.org/car/1301/Nissan-Ariya-63kWh",63,188,450,47490,335,160,7.5,1.41358772500693
"Kia EV6 Standard Range 2WD","Kia","https://ev-database.org/car/1480/Kia-EV6-Standard-Range-2WD",54,177,750,46990,305,185,8.5,1.413582481741
"Lucid Air Dream Edition P","Lucid","https://ev-database.org/car/1098/Lucid-Air-Dream-Edition-P",118,177,840,218000,665,270,2.7,1.41404810087569
"Volvo EX90 Twin Motor","Volvo","https://ev-database.org/car/1775/Volvo-EX90-Twin-Motor",107,230,610,105550,465,180,5.9,1.41388889114822
"Mercedes EQA 250","Mercedes","https://ev-database.org/car/1984/Mercedes-EQA-250",66.5,164,580,50777,405,160,8.6,1.4136199847358
"Mercedes EQV 300 Long","Mercedes","https://ev-database.org/car/1240/Mercedes-EQV-300-Long",90,290,310,71626,310,160,12.1,1.41376372825218
"NIO ET7 75 kWh","NIO","https://ev-database.org/car/1751/NIO-ET7-75-kWh",70.5,176,540,81900,400,200,3.8,1.41381092814613
"Ford Mustang Mach-E ER AWD","Ford","https://ev-database.org/car/2037/Ford-Mustang-Mach-E-ER-AWD",91,204,390,65900,445,180,5.8,1.41373205264268
"Volkswagen ID.4 Pure","Volkswagen","https://ev-database.org/car/2027/Volkswagen-ID4-Pure",52,182,360,40335,285,160,9,1.4135022949559
"VinFast VF 9 Extended Range","VinFast","https://ev-database.org/car/1811/VinFast-VF-9-Extended-Range",123,237,520,89790,520,200,6.5,1.41384082212789
"NIO ET5 100 kWh","NIO","https://ev-database.org/car/1787/NIO-ET5-100-kWh",90,180,520,68500,500,200,4,1.41374699564527
"Skoda Enyaq 85x","Skoda","https://ev-database.org/car/2021/Skoda-Enyaq-85x",77,175,660,51150,440,180,6.6,1.41362342101894
"Volvo C40 Recharge Twin Motor","Volvo","https://ev-database.org/car/1801/Volvo-C40-Recharge-Twin-Motor",79,198,600,61400,400,180,4.7,1.41370365990954
"Fisker Ocean Sport","Fisker","https://ev-database.org/car/1709/Fisker-Ocean-Sport",75,197,480,41560,380,160,7.4,1.41351869377835
"Mercedes EQE SUV 500 4MATIC","Mercedes","https://ev-database.org/car/2048/Mercedes-EQE-SUV-500-4MATIC",96,211,630,99841,455,210,4.9,1.41387297837204
"Mini Cooper SE","Mini","https://ev-database.org/car/1998/Mini-Cooper-SE",49,158,440,36900,310,170,6.7,1.41345140593091
"Ford Mustang Mach-E SR RWD","Ford","https://ev-database.org/car/2034/Ford-Mustang-Mach-E-SR-RWD",72.6,191,460,55800,380,180,7.3,1.41366293930732
"Volvo C40 Recharge Single Motor ER","Volvo","https://ev-database.org/car/1800/Volvo-C40-Recharge-Single-Motor-ER",79,188,630,54450,420,180,7.3,1.4136520608675
"Jaguar I-Pace EV400","Jaguar","https://ev-database.org/car/1812/Jaguar-I-Pace-EV400",84.7,223,360,92400,380,200,4.8,1.41384974493098
"Skoda Enyaq Coupe RS","Skoda","https://ev-database.org/car/2026/Skoda-Enyaq-Coupe-RS",77,169,680,63300,455,180,5.5,1.41371606804141
"Fisker Ocean Extreme","Fisker","https://ev-database.org/car/1711/Fisker-Ocean-Extreme",106.5,201,630,69950,530,205,3.9,1.41375491579828
"Mercedes EQE 300","Mercedes","https://ev-database.org/car/1897/Mercedes-EQE-300",89,170,660,67187,525,210,7.3,1.41373957280948
"Honda e Advance","Honda","https://ev-database.org/car/1233/Honda-e-Advance",28.5,168,180,39900,170,145,8.3,1.41349626543647
"Lotus Eletre R","Lotus","https://ev-database.org/car/1768/Lotus-Eletre-R",109,240,950,150990,455,260,2.9,1.41397764060351
"Smart #3 Brabus","Smart","https://ev-database.org/car/2000/Smart-3-Brabus",62,188,510,50990,330,180,3.7,1.41362195226588
"Peugeot e-308 SW","Peugeot","https://ev-database.org/car/1745/Peugeot-e-308-SW",50.8,169,450,45765,300,150,9,1.41356922374525
"Mercedes EQS SUV 450+","Mercedes","https://ev-database.org/car/1673/Mercedes-EQS-SUV-450plus",108.4,217,750,110801,500,210,6.7,1.41390228252141
"BYD DOLPHIN 44.9 kWh Boost","BYD","https://ev-database.org/car/1918/BYD-DOLPHIN-449-kWh-Boost",44.9,176,260,32740,255,160,8,1.41337777400637
"Opel Corsa Electric 51 kWh","Opel","https://ev-database.org/car/1942/Opel-Corsa-Electric-51-kWh",48.1,153,490,38045,315,150,8.1,1.41346923926935
"SsangYong Korando e-Motion","SsangYong","https://ev-database.org/car/1589/SsangYong-Korando-e-Motion",56,193,330,40490,290,156,8.5,1.41350441666034
"Volkswagen ID.4 Pro 4MOTION","Volkswagen","https://ev-database.org/car/2029/Volkswagen-ID4-Pro-4MOTION",77,181,630,49020,425,180,6.6,1.41360320025458
"Renault Megane E-Tech EV40 130hp","Renault","https://ev-database.org/car/1536/Renault-Megane-E-Tech-EV40-130hp",40,154,370,42000,260,150,10,1.41352438416919
"Smart #1 Pro","Smart","https://ev-database.org/car/2041/Smart-1-Pro",47,184,330,37490,255,180,6.7,1.41346071128145
